"Date","Price","Open","High","Low","Vol.","Change %"
"01-08-2025","1,393.70","1,386.90","1,405.90","1,384.30","10.32M","0.25%"
"31-07-2025","1,390.20","1,388.10","1,402.60","1,382.20","17.07M","-1.41%"
"30-07-2025","1,410.10","1,418.10","1,423.30","1,401.30","7.21M","-0.49%"
"29-07-2025","1,417.10","1,383.00","1,420.20","1,383.00","10.75M","2.13%"
"28-07-2025","1,387.60","1,392.30","1,407.80","1,385.00","7.75M","-0.29%"
"25-07-2025","1,391.70","1,398.90","1,401.00","1,384.10","11.85M","-0.80%"
"24-07-2025","1,402.90","1,419.20","1,423.00","1,396.00","14.74M","-1.52%"
"23-07-2025","1,424.60","1,426.00","1,426.00","1,414.40","8.35M","0.84%"
"22-07-2025","1,412.80","1,427.40","1,431.90","1,410.70","20.40M","-1.11%"
"21-07-2025","1,428.60","1,465.00","1,476.00","1,423.10","22.44M","-3.21%"
"18-07-2025","1,476.00","1,484.80","1,484.80","1,469.10","10.30M","-0.03%"
"17-07-2025","1,476.40","1,487.40","1,489.60","1,473.90","11.85M","-0.62%"
"16-07-2025","1,485.60","1,473.00","1,491.00","1,471.50","10.41M","0.01%"
"15-07-2025","1,485.40","1,486.20","1,496.50","1,482.40","8.13M","0.11%"
"14-07-2025","1,483.70","1,492.20","1,500.00","1,479.10","10.31M","-0.77%"
"11-07-2025","1,495.20","1,512.00","1,515.00","1,490.30","7.23M","-1.45%"
"10-07-2025","1,517.20","1,519.70","1,524.70","1,507.50","10.05M","-0.12%"
"09-07-2025","1,519.00","1,536.70","1,551.00","1,510.10","8.87M","-1.21%"
"08-07-2025","1,537.60","1,536.00","1,544.90","1,530.20","7.17M","-0.25%"
"07-07-2025","1,541.50","1,526.60","1,544.80","1,525.00","7.25M","0.93%"
"04-07-2025","1,527.30","1,524.00","1,530.00","1,517.20","6.60M","0.63%"
"03-07-2025","1,517.80","1,520.80","1,531.90","1,513.00","11.28M","-0.07%"
"02-07-2025","1,518.80","1,528.40","1,530.00","1,508.70","6.36M","-0.63%"
"01-07-2025","1,528.40","1,500.60","1,531.40","1,500.10","10.37M","1.85%"
"30-06-2025","1,500.60","1,513.80","1,524.80","1,496.00","8.41M","-0.98%"
"27-06-2025","1,515.40","1,499.40","1,522.00","1,496.90","11.12M","1.34%"
"26-06-2025","1,495.30","1,469.10","1,498.80","1,465.10","14.66M","1.91%"
"25-06-2025","1,467.30","1,464.00","1,472.40","1,460.50","7.53M","1.14%"
"24-06-2025","1,450.80","1,465.00","1,475.00","1,443.10","16.40M","-0.41%"
"23-06-2025","1,456.80","1,453.00","1,463.80","1,442.00","5.99M","-0.64%"
"20-06-2025","1,466.20","1,431.00","1,471.00","1,428.10","29.01M","2.30%"
"19-06-2025","1,433.30","1,430.10","1,439.90","1,425.70","10.01M","0.22%"
"18-06-2025","1,430.10","1,430.00","1,442.80","1,425.70","6.68M","-0.08%"
"17-06-2025","1,431.20","1,448.00","1,448.00","1,425.80","10.37M","-0.46%"
"16-06-2025","1,437.80","1,426.90","1,442.40","1,424.40","8.46M","0.69%"
"13-06-2025","1,427.90","1,424.00","1,435.50","1,414.30","9.76M","-0.95%"
"12-06-2025","1,441.60","1,453.50","1,457.00","1,434.40","8.83M","-0.50%"
"11-06-2025","1,448.90","1,445.80","1,468.60","1,443.10","8.20M","0.72%"
"10-06-2025","1,438.50","1,450.00","1,453.90","1,436.00","7.91M","-0.71%"
"09-06-2025","1,448.80","1,457.00","1,457.50","1,445.30","7.89M","0.37%"
"06-06-2025","1,443.50","1,441.00","1,451.50","1,437.00","8.18M","0.08%"
"05-06-2025","1,442.40","1,428.00","1,454.70","1,423.60","13.72M","1.33%"
"04-06-2025","1,423.50","1,414.70","1,425.70","1,406.10","8.13M","1.28%"
"03-06-2025","1,405.50","1,422.30","1,426.50","1,403.40","11.25M","-0.58%"
"02-06-2025","1,413.70","1,412.10","1,417.50","1,395.60","8.10M","-0.51%"
"30-05-2025","1,420.90","1,418.00","1,430.60","1,409.70","13.79M","0.22%"
"29-05-2025","1,417.80","1,412.10","1,420.00","1,408.60","13.77M","0.35%"
"28-05-2025","1,412.90","1,420.10","1,422.60","1,410.70","5.94M","-0.65%"
"27-05-2025","1,422.10","1,426.10","1,437.00","1,413.90","12.64M","-0.89%"
"26-05-2025","1,434.80","1,432.00","1,441.00","1,425.10","4.84M","0.56%"
"23-05-2025","1,426.80","1,406.60","1,433.80","1,406.60","6.47M","1.23%"
"22-05-2025","1,409.40","1,421.20","1,423.80","1,396.90","12.13M","-1.39%"
"21-05-2025","1,429.20","1,423.90","1,436.20","1,418.10","6.14M","0.32%"
"20-05-2025","1,424.60","1,438.20","1,445.00","1,421.80","11.27M","-1.12%"
