"stock_date";"stock_price";"stock_open";"stock_high";"stock_low";"stock_volume";"stock_change";"Volatility_7";"MA_7";"daily_return"
"2025-04-21";1295.5;1270.0;1300.9;1267.0;10430000.0;1.65;1.3138;1233.7;0.0
"2025-04-17";1274.5;1240.2;1280.2;1227.6;15400000.0;2.84;1.3138;1215.16;2.84031
"2025-04-16";1239.3;1234.1;1240.9;1229.0;8250000.0;-0.06;2.1281;1205.19;-0.064505
"2025-04-15";1240.1;1251.0;1251.0;1237.1;13380000.0;1.74;2.12063;1206.53;0.0
"2025-04-11";1218.95;1195.15;1222.65;1195.15;11220000.0;2.83;1.84493;1208.11;0.0
"2025-04-09";1185.35;1169.5;1189.8;1168.0;10220000.0;0.27;1.84493;1212.91;0.266454
"2025-04-08";1182.2;1172.0;1196.6;1163.3;19560000.0;1.42;1.81057;1225.74;1.41546
"2025-04-07";1165.7;1132.2;1171.25;1114.85;22160000.0;-3.24;1.5805;1239.45;0.0
"2025-04-04";1204.7;1241.1;1245.45;1193.15;17910000.0;-3.52;1.41675;1254.79;-3.52366
"2025-04-03";1248.7;1233.05;1251.8;1233.05;7430000.0;-0.2;0.614082;1266.32;-0.195826
"2025-04-02";1251.15;1247.55;1255.55;1243.9;10140000.0;-0.12;0.677501;1273.95;-0.115755
"2025-04-01";1252.6;1264.6;1277.9;1249.3;12100000.0;-1.76;0.814164;1277.55;0.0
"2025-03-28";1275.1;1280.0;1295.75;1269.0;18150000.0;-0.24;1.11456;1279.91;-0.242527
"2025-03-27";1278.2;1278.15;1285.0;1271.3;15030000.0;0.4;1.13052;1275.92;0.404533
"2025-03-26";1273.05;1291.0;1293.8;1268.75;12070000.0;-0.96;1.12763;1270.29;-0.964635
"2025-03-25";1285.45;1307.7;1307.7;1282.6;13710000.0;-1.28;1.11013;1265.41;-1.27871
"2025-03-24";1302.1;1291.0;1306.0;1284.25;20300000.0;2.02;0.919794;1260.04;0.0
"2025-03-21";1276.35;1275.0;1281.0;1270.1;21780000.0;0.57;0.833449;1253.61;0.567305
"2025-03-20";1269.15;1251.85;1273.0;1250.05;15970000.0;1.76;0.83784;1249.46;1.76402
"2025-03-19";1247.15;1241.05;1253.25;1238.8;16160000.0;0.67;0.651068;1245.06;0.674037
"2025-03-18";1238.8;1244.7;1248.35;1235.0;15750000.0;0.0;1.5292;1245.44;-0.00403009
"2025-03-17";1238.85;1242.15;1257.4;1233.1;16640000.0;-0.73;1.68081;1241.27;0.0
"2025-03-13";1247.9;1260.05;1264.15;1243.85;9510000.0;-0.73;1.506;1232.24;-0.727897
"2025-03-12";1257.05;1258.0;1263.0;1244.0;11980000.0;0.78;1.52568;1219.95;0.781688
"2025-03-11";1247.3;1240.0;1249.5;1229.75;10090000.0;0.72;1.67717;1207.69;0.718671
"2025-03-10";1238.4;1245.0;1258.0;1235.4;11930000.0;-0.91;1.90616;1200.95;0.0
"2025-03-07";1249.8;1216.0;1254.8;1212.0;16470000.0;3.32;1.90616;1196.48;3.32342
"2025-03-06";1209.6;1197.0;1213.95;1185.15;14470000.0;2.89;1.64447;1189.94;2.89214
"2025-03-05";1175.6;1161.0;1183.0;1157.0;8660000.0;1.18;0.971828;1190.64;1.1791
"2025-03-04";1161.9;1162.2;1174.0;1159.55;11380000.0;-0.8;0.216158;1198.15;-0.79829
"2025-03-03";1171.25;1204.0;1206.45;1156.0;17940000.0;-2.4;0.56779;1208.31;0.0
"2025-02-28";1200.1;1202.0;1217.35;1193.3;23010000.0;-0.58;0.542933;1216.34;-0.579902
"2025-02-27";1207.1;1212.8;1215.0;1200.65;11510000.0;0.26;0.517432;1219.95;0.0
